Wall time,Step,Value
1715243214.5164602,5,0.8273237347602844
1715243325.072874,10,0.8297275900840759
1715243437.45805,15,0.8357371687889099
1715243548.0416033,20,0.8453525900840759
1715243657.611855,25,0.8409455418586731
1715243769.2477093,30,0.848557710647583
1715243879.417439,35,0.848557710647583
1715243990.0477297,40,0.8501602411270142
1715244099.6401324,45,0.8629807829856873
1715244209.59931,50,0.8377403616905212
1715244319.1424174,55,0.8621794581413269
1715244428.5879254,60,0.8790063858032227
1715244536.8870614,65,0.8597756624221802
1715244645.12254,70,0.8629807829856873
1715244757.927165,75,0.8609775900840759
1715244870.8402717,80,0.8409455418586731
1715244979.0733123,85,0.8177083134651184
1715245097.43084,90,0.854567289352417
1715245216.2780726,95,0.8297275900840759
1715246128.747141,100,0.8713942170143127
1715246239.2447484,105,0.8657852411270142
1715246348.9916263,110,0.854567289352417
1715246460.3490021,115,0.8677884340286255
1715246571.0632186,120,0.854567289352417
1715246682.3195972,125,0.9002403616905212
1715246792.901144,130,0.9078525900840759
1715246904.4753454,135,0.911057710647583
1715247015.2784584,140,0.9114583134651184
1715247125.0398986,145,0.9134615659713745
1715247237.0412512,150,0.9106570482254028
1715247346.6888118,155,0.9090544581413269
1715247457.6364086,160,0.9154647588729858
1715247567.2596865,165,0.901442289352417
1715247677.9542809,170,0.901442289352417
1715247788.182993,175,0.9022436141967773
1715247898.5719836,180,0.901442289352417
1715248008.9680154,185,0.9202724099159241
1715248122.23666,190,0.9154647588729858
1715248232.9050817,195,0.9190705418586731
1715248342.4388502,200,0.9178686141967773
1715248452.3404076,205,0.9186698794364929
1715248564.2708404,210,0.9198718070983887
1715248676.2408643,215,0.9138621687889099
1715248786.1165693,220,0.9142628312110901
1715248896.0671577,225,0.9158653616905212
1715249006.7494853,230,0.9206730723381042
1715249115.8467932,235,0.9174679517745972
1715249228.0394359,240,0.9174679517745972
1715249339.6035004,245,0.9202724099159241
1715249449.5411634,250,0.9178686141967773
1715249558.8011093,255,0.9182692170143127
1715249671.4136872,260,0.9166666865348816
1715249783.7557662,265,0.9162660241127014
1715249901.0238426,270,0.9150640964508057
1715250019.3127718,275,0.9166666865348816
1715250481.1358545,280,0.9178686141967773
1715250592.0360205,285,0.9166666865348816
1715250703.1127954,290,0.9182692170143127
1715250815.8954315,295,0.917067289352417
1715250925.6654484,300,0.9194711446762085
