Wall time,Step,Value
1715673779.50273,1,3.2071447372436523
1715673833.6359968,2,3.0445101261138916
1715673887.4373896,3,2.824856996536255
1715673941.2626746,4,2.8003311157226562
1715673995.634319,5,2.691520929336548
1715674049.9323452,6,2.621556282043457
1715674104.119349,7,2.6081080436706543
1715674158.3522375,8,2.4584779739379883
1715674212.7192597,9,2.398958921432495
1715674266.9289591,10,2.4195451736450195
1715674321.043926,11,2.428004741668701
1715674375.0901701,12,2.3657379150390625
1715674429.2284703,13,2.376676559448242
1715674483.4725742,14,2.3122546672821045
1715674537.679086,15,2.261216402053833
1715674592.8313088,16,2.2833778858184814
1715674647.580283,17,2.2128634452819824
1715674701.8757029,18,2.2758383750915527
1715674755.9338408,19,2.271763801574707
1715674810.410978,20,2.2674529552459717
1715674864.9082549,21,2.1462621688842773
1715674919.1176593,22,2.23498797416687
1715674973.1765475,23,2.150338888168335
1715675027.3249495,24,2.2111568450927734
1715675081.2629945,25,2.1947083473205566
1715675135.4411173,26,2.1251213550567627
1715675189.4581547,27,2.191086530685425
1715675243.3822682,28,2.203761577606201
1715675297.8637943,29,2.094724416732788
1715675352.1391697,30,2.167344093322754
1715675406.3161945,31,2.2599854469299316
1715675461.048855,32,2.1183176040649414
1715675515.2298071,33,2.1248691082000732
1715675570.1989827,34,2.0817394256591797
1715675624.5800982,35,2.03096342086792
1715675678.8611486,36,2.095555543899536
1715675732.836441,37,2.207439422607422
1715675786.808733,38,2.091984987258911
1715675840.67514,39,2.1093337535858154
1715675894.4824994,40,2.0880191326141357
1715675948.440645,41,2.143043279647827
1715676002.4473774,42,2.0899643898010254
1715676056.4753542,43,2.0413386821746826
1715676110.4655952,44,2.068586587905884
1715676164.5817437,45,2.0262722969055176
1715676218.889938,46,2.0182371139526367
1715676272.9704285,47,2.004495620727539
1715676327.0661514,48,2.030543804168701
1715676381.4008255,49,2.006669282913208
1715676435.4504144,50,2.0137717723846436
1715676489.6213493,51,2.0898611545562744
1715676543.5619273,52,1.9734082221984863
1715676597.4839203,53,2.030809164047241
1715676651.6440904,54,1.9772883653640747
1715676705.6705313,55,2.055880069732666
